  -1.00000000   0.18750000
  -0.94429636   0.15217867
  -0.94429636   0.21467867
  -1.00000000   0.25000000
  -1.00000000   0.12500000
  -0.94429636   0.08967867
  -0.88859271   0.11685734
  -0.88859271   0.17935734
  -0.88859271   0.24185734
  -0.94429636   0.27717867
  -1.00000000   0.31250000
  -1.00000000   0.06250000
  -0.94429636   0.02717867
  -0.88859271   0.05435734
  -0.83288907   0.08153601
  -0.83288907   0.14403601
  -0.83288907   0.20653601
  -0.83288907   0.26903601
  -0.88859271   0.30435734
  -0.94429636   0.33967867
  -1.00000000   0.37500000
  -1.00000000   0.00000000
  -0.94421957  -0.02796998
  -0.88851592  -0.00079130
  -0.83281228   0.02638737
  -0.77710864   0.05356604
  -0.77718543   0.10871469
  -0.77718543   0.17121469
  -0.77718543   0.23371469
  -0.77718543   0.29621469
  -0.83288907   0.33153601
  -0.88859271   0.36685734
  -0.94429636   0.40217867
  -1.00000000   0.43750000
  -1.00000000  -0.06250000
  -0.94421957  -0.09046998
  -0.88843913  -0.05593995
  -0.83273549  -0.02876128
  -0.77703185  -0.00158261
  -0.72132821   0.02559606
  -0.72140500   0.08074471
  -0.72148179   0.13589336
  -0.72148179   0.19839336
  -0.72148179   0.26089336
  -0.72148179   0.32339336
  -0.77718543   0.35871469
  -0.83288907   0.39403601
  -0.88859271   0.42935734
  -0.94429636   0.46467867
  -1.00000000   0.50000000
  -1.00000000  -0.12500000
  -0.94421957  -0.15296998
  -0.88843913  -0.11843995
  -0.83265870  -0.08390993
  -0.77695506  -0.05673126
  -0.72125141  -0.02955258
  -0.66554777  -0.00237391
  -0.66562456   0.05277473
  -0.66570135   0.10792338
  -0.66577814   0.16307203
  -0.66577814   0.22557203
  -0.66577814   0.28807203
  -0.67886421   0.34252595
  -0.73456786   0.37784727
  -0.79027150   0.41316860
  -0.84597514   0.44848993
  -0.90167878   0.48381126
  -0.95738243   0.51913259
  -1.00000000   0.56250000
  -1.00000000  -0.18750000
  -0.94421957  -0.21546998
  -0.88843913  -0.18093995
  -0.83265870  -0.14640993
  -0.77687827  -0.11187990
  -0.72117462  -0.08470123
  -0.66547098  -0.05752256
  -0.60976734  -0.03034389
  -0.60984413   0.02480476
  -0.60992092   0.07995341
  -0.60999771   0.13510205
  -0.61007450   0.19025070
  -0.61007450   0.25275070
  -0.62316057   0.30720462
  -0.63624664   0.36165853
  -0.69195028   0.39697986
  -0.74765393   0.43230119
  -0.80335757   0.46762252
  -0.85906121   0.50294385
  -0.91476486   0.53826518
  -0.95738243   0.58163259
  -1.00000000   0.62500000
  -1.00000000  -0.25000000
  -0.94421957  -0.27796998
  -0.88843913  -0.24343995
  -0.83265870  -0.20890993
  -0.77687827  -0.17437990
  -0.72109783  -0.13984988
  -0.66539419  -0.11267121
  -0.60969055  -0.08549254
  -0.55398691  -0.05831387
  -0.55406370  -0.00316522
  -0.55414049   0.05198343
  -0.55421728   0.10713208
  -0.55429407   0.16228073
  -0.55437086   0.21742937
  -0.56745693   0.27188329
  -0.58054300   0.32633720
  -0.59362907   0.38079112
  -0.64933271   0.41611245
  -0.70503635   0.45143378
  -0.76074000   0.48675511
  -0.81644364   0.52207643
  -0.87214728   0.55739776
  -0.91476486   0.60076518
  -0.95738243   0.64413259
  -1.00000000   0.68750000
  -1.00000000  -0.31250000
  -0.94421957  -0.34046998
  -0.88843913  -0.30593995
  -0.83265870  -0.27140993
  -0.77687827  -0.23687990
  -0.72109783  -0.20234988
  -0.66531740  -0.16781986
  -0.60961376  -0.14064118
  -0.55391011  -0.11346251
  -0.48469055  -0.08549254
  -0.48476734  -0.03034389
  -0.48484413   0.02480476
  -0.48492092   0.07995341
  -0.48499771   0.13510205
  -0.48507450   0.19025070
  -0.51352314   0.25842246
  -0.52660921   0.31287638
  -0.53969529   0.36733030
  -0.55278136   0.42178421
  -0.60671514   0.43524504
  -0.66241878   0.47056637
  -0.71812243   0.50588769
  -0.77382607   0.54120902
  -0.82952971   0.57653035
  -0.87214728   0.61989776
  -0.91476486   0.66326518
  -0.95738243   0.70663259
  -1.00000000   0.75000000
  -1.00000000  -0.37500000
  -0.94421957  -0.40296998
  -0.88843913  -0.36843995
  -0.83265870  -0.33390993
  -0.77687827  -0.29937990
  -0.72109783  -0.26484988
  -0.66531740  -0.23031986
  -0.60953697  -0.19578983
  -0.55383332  -0.16861116
  -0.48461376  -0.14064118
  -0.41539419  -0.11267121
  -0.41547098  -0.05752256
  -0.41554777  -0.00237391
  -0.41562456   0.05277473
  -0.41570135   0.10792338
  -0.41577814   0.16307203
  -0.44422679   0.23124379
  -0.47267543   0.29941556
  -0.48576150   0.35386947
  -0.49884757   0.40832339
  -0.51193364   0.46277730
  -0.56586743   0.47623813
  -0.61980121   0.48969895
  -0.67550485   0.52502028
  -0.73120850   0.56034161
  -0.78691214   0.59566294
  -0.82952971   0.63903035
  -0.87214728   0.68239776
  -0.91476486   0.72576518
  -0.95738243   0.76913259
  -1.00000000   0.81250000
  -1.00000000  -0.43750000
  -0.94421957  -0.46546998
  -0.88843913  -0.43093995
  -0.83265870  -0.39640993
  -0.77687827  -0.36187990
  -0.72109783  -0.32734988
  -0.66531740  -0.29281986
  -0.60953697  -0.25828983
  -0.55375653  -0.22375981
  -0.48453697  -0.19578983
  -0.41531740  -0.16781986
  -0.34609783  -0.13984988
  -0.34617462  -0.08470123
  -0.34625141  -0.02955258
  -0.34632821   0.02559606
  -0.34640500   0.08074471
  -0.34648179   0.13589336
  -0.37493043   0.20406512
  -0.40337907   0.27223688
  -0.43182772   0.34040865
  -0.44491379   0.39486256
  -0.45799986   0.44931648
  -0.47108593   0.50377040
  -0.52501971   0.51723122
  -0.57895350   0.53069204
  -0.63288728   0.54415287
  -0.68859092   0.57947420
  -0.74429457   0.61479553
  -0.78691214   0.65816294
  -0.82952971   0.70153035
  -0.87214728   0.74489776
  -0.91476486   0.78826518
  -0.95738243   0.83163259
  -1.00000000   0.87500000
  -1.00000000  -0.50000000
  -0.95765261  -0.51969421
  -0.90187218  -0.48516419
  -0.84609174  -0.45063416
  -0.79031131  -0.41610414
  -0.73453088  -0.38157411
